type,show_title,week,type2,year,url,url2,url3,url4
tv,mr_queen,2023-03-26,m,2023,https://www.rottentomatoes.com/tv/mr_queen_2023,https://www.rottentomatoes.com/tv/mr_queen,https://www.rottentomatoes.com/m/mr_queen_2023,https://www.rottentomatoes.com/m/mr_queen
m,mrs_chatterjee_vs_norway,2023-05-21,tv,2023,https://www.rottentomatoes.com/m/mrs_chatterjee_vs_norway_2023,https://www.rottentomatoes.com/m/mrs_chatterjee_vs_norway,https://www.rottentomatoes.com/tv/mrs_chatterjee_vs_norway_2023,https://www.rottentomatoes.com/tv/mrs_chatterjee_vs_norway
m,munich_the_edge_of_war,2022-01-30,tv,2022,https://www.rottentomatoes.com/m/munich_the_edge_of_war_2022,https://www.rottentomatoes.com/m/munich_the_edge_of_war,https://www.rottentomatoes.com/tv/munich_the_edge_of_war_2022,https://www.rottentomatoes.com/tv/munich_the_edge_of_war
tv,murdaugh_murders_a_southern_scandal,2023-10-08,m,2023,https://www.rottentomatoes.com/tv/murdaugh_murders_a_southern_scandal_2023,https://www.rottentomatoes.com/tv/murdaugh_murders_a_southern_scandal,https://www.rottentomatoes.com/m/murdaugh_murders_a_southern_scandal_2023,https://www.rottentomatoes.com/m/murdaugh_murders_a_southern_scandal
m,murder_mubarak,2024-03-24,tv,2024,https://www.rottentomatoes.com/m/murder_mubarak_2024,https://www.rottentomatoes.com/m/murder_mubarak,https://www.rottentomatoes.com/tv/murder_mubarak_2024,https://www.rottentomatoes.com/tv/murder_mubarak
m,murder_mystery,2023-04-16,tv,2023,https://www.rottentomatoes.com/m/murder_mystery_2023,https://www.rottentomatoes.com/m/murder_mystery,https://www.rottentomatoes.com/tv/murder_mystery_2023,https://www.rottentomatoes.com/tv/murder_mystery
m,murder_mystery_2,2023-04-30,tv,2023,https://www.rottentomatoes.com/m/murder_mystery_2_2023,https://www.rottentomatoes.com/m/murder_mystery_2,https://www.rottentomatoes.com/tv/murder_mystery_2_2023,https://www.rottentomatoes.com/tv/murder_mystery_2
m,murder_by_the_coast,2021-07-04,tv,2021,https://www.rottentomatoes.com/m/murder_by_the_coast_2021,https://www.rottentomatoes.com/m/murder_by_the_coast,https://www.rottentomatoes.com/tv/murder_by_the_coast_2021,https://www.rottentomatoes.com/tv/murder_by_the_coast
tv,muscles_mayhem_an_unauthorized_story_of_american_gladiators,2023-07-02,m,2023,https://www.rottentomatoes.com/tv/muscles_mayhem_an_unauthorized_story_of_american_gladiators_2023,https://www.rottentomatoes.com/tv/muscles_mayhem_an_unauthorized_story_of_american_gladiators,https://www.rottentomatoes.com/m/muscles_mayhem_an_unauthorized_story_of_american_gladiators_2023,https://www.rottentomatoes.com/m/muscles_mayhem_an_unauthorized_story_of_american_gladiators
tv,muted,2023-06-04,m,2023,https://www.rottentomatoes.com/tv/muted_2023,https://www.rottentomatoes.com/tv/muted,https://www.rottentomatoes.com/m/muted_2023,https://www.rottentomatoes.com/m/muted
