category,show_title,week,category2,year,url,url2,url3,url4
m,missing_the_lucie_blackman_case,2023-08-06,tv,2023,https://www.rottentomatoes.com/m/missing_the_lucie_blackman_case_2023,https://www.rottentomatoes.com/m/missing_the_lucie_blackman_case,https://www.rottentomatoes.com/tv/missing_the_lucie_blackman_case_2023,https://www.rottentomatoes.com/tv/missing_the_lucie_blackman_case
m,they_cloned_tyrone,2023-08-06,tv,2023,https://www.rottentomatoes.com/m/they_cloned_tyrone_2023,https://www.rottentomatoes.com/m/they_cloned_tyrone,https://www.rottentomatoes.com/tv/they_cloned_tyrone_2023,https://www.rottentomatoes.com/tv/they_cloned_tyrone
m,untold_jake_paul_the_problem_child,2023-08-06,tv,2023,https://www.rottentomatoes.com/m/untold_jake_paul_the_problem_child_2023,https://www.rottentomatoes.com/m/untold_jake_paul_the_problem_child,https://www.rottentomatoes.com/tv/untold_jake_paul_the_problem_child_2023,https://www.rottentomatoes.com/tv/untold_jake_paul_the_problem_child
tv,the_lady_of_silence_the_mataviejitas_murders,2023-08-06,m,2023,https://www.rottentomatoes.com/tv/the_lady_of_silence_the_mataviejitas_murders_2023,https://www.rottentomatoes.com/tv/the_lady_of_silence_the_mataviejitas_murders,https://www.rottentomatoes.com/m/the_lady_of_silence_the_mataviejitas_murders_2023,https://www.rottentomatoes.com/m/the_lady_of_silence_the_mataviejitas_murders
tv,bird_box_barcelona,2023-08-06,m,2023,https://www.rottentomatoes.com/tv/bird_box_barcelona_2023,https://www.rottentomatoes.com/tv/bird_box_barcelona,https://www.rottentomatoes.com/m/bird_box_barcelona_2023,https://www.rottentomatoes.com/m/bird_box_barcelona
tv,no_ritmo_da_fe,2023-08-06,m,2023,https://www.rottentomatoes.com/tv/no_ritmo_da_fe_2023,https://www.rottentomatoes.com/tv/no_ritmo_da_fe,https://www.rottentomatoes.com/m/no_ritmo_da_fe_2023,https://www.rottentomatoes.com/m/no_ritmo_da_fe
tv,big_nunus_little_heist,2023-08-06,m,2023,https://www.rottentomatoes.com/tv/big_nunus_little_heist_2023,https://www.rottentomatoes.com/tv/big_nunus_little_heist,https://www.rottentomatoes.com/m/big_nunus_little_heist_2023,https://www.rottentomatoes.com/m/big_nunus_little_heist
tv,the_murderer,2023-08-06,m,2023,https://www.rottentomatoes.com/tv/the_murderer_2023,https://www.rottentomatoes.com/tv/the_murderer,https://www.rottentomatoes.com/m/the_murderer_2023,https://www.rottentomatoes.com/m/the_murderer
tv,how_to_become_a_cult_leader,2023-08-06,m,2023,https://www.rottentomatoes.com/tv/how_to_become_a_cult_leader_2023,https://www.rottentomatoes.com/tv/how_to_become_a_cult_leader,https://www.rottentomatoes.com/m/how_to_become_a_cult_leader_2023,https://www.rottentomatoes.com/m/how_to_become_a_cult_leader
tv,too_hot_to_handle,2023-08-06,m,2023,https://www.rottentomatoes.com/tv/too_hot_to_handle_2023,https://www.rottentomatoes.com/tv/too_hot_to_handle,https://www.rottentomatoes.com/m/too_hot_to_handle_2023,https://www.rottentomatoes.com/m/too_hot_to_handle
